year,state_abbreviation,total_unemployed,total_labor_force,unemployment_rate,state_name
2012.0,NM,64826.0,928762.0,0.06979829062773886,New Mexico
2012.0,NV,158475.0,1366207.0,0.11599633144904103,Nevada
2012.0,NY,827517.0,9602605.0,0.08617630320105846,New York
2012.0,OH,422085.0,5712478.0,0.07388824954774442,Ohio
2012.0,OK,91275.0,1794904.0,0.050852301850126805,Oklahoma
2012.0,OR,173417.0,1964668.0,0.08826783965535144,Oregon
2012.0,PA,493621.0,6449032.0,0.07654187481159963,Pennsylvania
2012.0,PR,172896.0,1194288.0,0.144769100920381,Unknown
2012.0,RI,57306.0,560204.0,0.10229487829433563,Rhode Island
2012.0,SC,197249.0,2190206.0,0.0900595651733216,South Carolina
2012.0,SD,18120.0,447072.0,0.04053038436761864,South Dakota
2012.0,TN,246594.0,3096321.0,0.0796409674578314,Tennessee
2012.0,TX,844496.0,12639479.0,0.06681414637422951,Texas
2012.0,UT,64408.0,1348559.0,0.04776060965816104,Utah
2012.0,VA,250388.0,4217540.0,0.05936825732536028,Virginia
2012.0,VT,17045.0,353945.0,0.04815719956490415,Vermont
2012.0,WA,265442.0,3468738.0,0.076524084551788,Washington
2012.0,WI,212887.0,3070043.0,0.06934332841592121,Wisconsin
2012.0,WV,58437.0,808029.0,0.07232042414319288,West Virginia
2012.0,WY,16640.0,303750.0,0.05478189300411523,Wyoming
2012.0,ia,32764.0,365176.0,0.08972112077464017,Unknown
2013.0,AK,25438.0,363543.0,0.06997246543049929,Alaska
2013.0,AL,159274.0,2172103.0,0.07332709360467712,Alabama
2013.0,AR,94001.0,1331610.0,0.07059199014726535,Arkansas
2013.0,AZ,239213.0,3064554.0,0.07805801431464415,Arizona
2013.0,CA,1677545.0,18565415.0,0.09035860496520008,California
2013.0,CO,186576.0,2766149.0,0.06744972884685532,Colorado
2013.0,CT,148542.0,1867375.0,0.07954588660552915,Connecticut
2013.0,DE,29335.0,443550.0,0.06613685041145305,Delaware
2013.0,FL,708608.0,9414672.0,0.07526635022441568,Florida
2013.0,GA,386762.0,4750063.0,0.08142249902790763,Georgia
2013.0,HI,30973.0,650979.0,0.04757910777459795,Hawaii
2013.0,IA,79432.0,1676575.0,0.04737754052159909,Iowa
2013.0,ID,53061.0,777608.0,0.06823618069772945,Idaho
2013.0,IL,595396.0,6556593.0,0.09080874777494959,Illinois
2013.0,IN,240013.0,3193688.0,0.07515230041256378,Indiana
2013.0,KS,78932.0,1489405.0,0.052995659340474885,Kansas
2013.0,KY,163127.0,2055911.0,0.079345360767076,Kentucky
2013.0,LA,135223.0,2101977.0,0.06433134139907334,Louisiana
2013.0,MA,233546.0,3516692.0,0.06641070642524281,Massachusetts
2013.0,MD,204281.0,3128911.0,0.06528821049879655,Maryland
2013.0,ME,47184.0,704247.0,0.06699922044396356,Maine
2013.0,MI,413515.0,4736928.0,0.08729602814313411,Michigan
2013.0,MN,149275.0,2961728.0,0.050401319770080166,Minnesota
2013.0,MO,204082.0,3011199.0,0.06777433175289976,Missouri
2013.0,MS,108229.0,1273061.0,0.08501477933893191,Mississippi
2013.0,MT,27402.0,511203.0,0.053602971813545695,Montana
2013.0,NC,365013.0,4701398.0,0.07763924687933249,North Carolina
2013.0,ND,11589.0,401512.0,0.028863396361752575,North Dakota
2013.0,NE,37369.0,1014835.0,0.03682273473027635,Nebraska
2013.0,NH,39014.0,743036.0,0.05250620427543214,New Hampshire
2013.0,NJ,380360.0,4528022.0,0.0840013586506426,New Jersey
2013.0,NM,64202.0,929411.0,0.06907815810228199,New Mexico
2013.0,NV,136705.0,1370727.0,0.09973174818909965,Nevada
2013.0,NY,752161.0,9632958.0,0.0780820387673236,New York
2013.0,OH,425324.0,5706790.0,0.07452946402443406,Ohio
2013.0,OK,92306.0,1799527.0,0.05129459018953314,Oklahoma
2013.0,OR,149554.0,1924696.0,0.07770266057600785,Oregon
2013.0,PA,457706.0,6419841.0,0.07129553520094968,Pennsylvania
2013.0,PR,166791.0,1166326.0,0.14300547188350426,Unknown
2013.0,RI,52971.0,558748.0,0.09480302390344127,Rhode Island
2013.0,SC,163473.0,2197880.0,0.07437758203359601,South Carolina
2013.0,SD,16643.0,447478.0,0.037192889929784256,South Dakota
2013.0,TN,238767.0,3078901.0,0.07754942429132992,Tennessee
2013.0,TX,809782.0,12832057.0,0.06310617229957753,Texas
2013.0,UT,58349.0,1385911.0,0.04210154908937154,Utah
2013.0,VA,236327.0,4238394.0,0.05575861989234602,Virginia
2013.0,VT,15493.0,350177.0,0.04424333979673137,Vermont
2013.0,WA,229828.0,3460776.0,0.06640938332905684,Washington
2013.0,WI,205819.0,3077806.0,0.06687198608359331,Wisconsin
2013.0,WV,53632.0,799484.0,0.06708326870831686,West Virginia
2013.0,WY,14409.0,302203.0,0.047679870815312886,Wyoming
2013.0,ia,31590.0,374199.0,0.08442032180738057,Unknown
2014.0,AK,24580.0,364286.0,0.06747445688277892,Alaska
2014.0,AL,146014.0,2164721.0,0.067451648503433,Alabama
2014.0,AR,78197.0,1327962.0,0.058884968093966546,Arkansas
2014.0,AZ,212250.0,3118444.0,0.06806279028900311,Arizona
2014.0,CA,1412177.0,18676701.0,0.07561169394958991,California
2014.0,CO,139596.0,2800673.0,0.049843733988223546,Colorado
2014.0,CT,124983.0,1889102.0,0.06616000618283184,Connecticut
2014.0,DE,25312.0,452712.0,0.05591192634610967,Delaware
2014.0,FL,614971.0,9546411.0,0.06441907854166345,Florida
2014.0,GA,338800.0,4745870.0,0.07138838611255681,Georgia
2014.0,HI,28102.0,664015.0,0.04232133310241486,Hawaii
2014.0,IA,72046.0,1698722.0,0.04241188375731874,Iowa
2014.0,ID,34137.0,776944.0,0.04393752960316316,Idaho
2014.0,IL,467321.0,6516388.0,0.07171472907997498,Illinois
2014.0,IN,191841.0,3228528.0,0.05942057804671355,Indiana
2014.0,KS,67315.0,1494207.0,0.045050652285794406,Kansas
2014.0,KY,128970.0,2006530.0,0.06427514166247203,Kentucky
2014.0,LA,133853.0,2141526.0,0.06250356054514397,Louisiana
2014.0,MA,204708.0,3569561.0,0.057348228535665874,Massachusetts
2014.0,MD,179107.0,3125018.0,0.057313909871879135,Maryland
2014.0,ME,39030.0,698038.0,0.05591386142301708,Maine
2014.0,MI,343707.0,4759728.0,0.07221147931142284,Michigan
2014.0,MN,127316.0,2979803.0,0.042726314457700726,Minnesota
2014.0,MO,187031.0,3035603.0,0.061612470405385686,Missouri
2014.0,MS,94661.0,1243941.0,0.07609766058036514,Mississippi
2014.0,MT,23880.0,512621.0,0.0465841235532684,Montana
2014.0,NC,287644.0,4698291.0,0.06122311282975022,North Carolina
2014.0,ND,10723.0,409509.0,0.02618501669071986,North Dakota
2014.0,NE,33003.0,1012734.0,0.03258802410109664,Nebraska
2014.0,NH,32020.0,743761.0,0.04305146411279968,New Hampshire
2014.0,NJ,302577.0,4493896.0,0.0673306636379658,New Jersey
2014.0,NM,61384.0,931955.0,0.06586584116185867,New Mexico
2014.0,NV,112659.0,1380085.0,0.08163192846817406,Nevada
2014.0,NY,598240.0,9523570.0,0.06281677984201303,New York
2014.0,OH,331392.0,5713183.0,0.05800479347502084,Ohio
2014.0,OK,77952.0,1797781.0,0.043360120059117324,Oklahoma
2014.0,OR,129925.0,1950129.0,0.06662379770774139,Oregon
2014.0,PA,378990.0,6389071.0,0.059318483078369295,Pennsylvania
2014.0,PR,157233.0,1132102.0,0.13888589544051685,Unknown
2014.0,RI,43229.0,556635.0,0.07766130408616059,Rhode Island
2014.0,SC,139489.0,2222436.0,0.06276401210203579,South Carolina
2014.0,SD,15037.0,450773.0,0.03335825348900666,South Dakota
2014.0,TN,201038.0,3043581.0,0.06605311309276803,Tennessee
2014.0,TX,673135.0,13006225.0,0.051754832781994775,Texas
2014.0,UT,51427.0,1415781.0,0.036324120750313785,Utah
2014.0,VA,217949.0,4258861.0,0.051175419906871814,Virginia
2014.0,VT,13953.0,348693.0,0.040015142259810205,Vermont
2014.0,WA,207253.0,3495159.0,0.05929715929947679,Washington
2014.0,WI,164220.0,3077992.0,0.0533529651798965,Wisconsin
2014.0,WV,51778.0,795730.0,0.06506981011146998,West Virginia
2014.0,WY,13172.0,302865.0,0.04349132451752431,Wyoming
2014.0,ia,29263.0,379678.0,0.07707320413613641,Unknown
2015.0,AK,22819.0,362423.0,0.06296233958661564,Alaska
2015.0,AL,131853.0,2152304.0,0.06126132739612992,Alabama
2015.0,AR,66517.0,1339309.0,0.049665163155029945,Arkansas
2015.0,AZ,193901.0,3184449.0,0.06088996871986331,Arizona
2015.0,CA,1176734.0,18824146.0,0.06251194609306579,California
2015.0,CO,105765.0,2825761.0,0.037428855448143,Colorado
2015.0,CT,106299.0,1892088.0,0.05618079074546216,Connecticut
2015.0,DE,22196.0,462751.0,0.047965320442311304,Delaware
2015.0,FL,532965.0,9639739.0,0.05528832264027066,Florida
2015.0,GA,287578.0,4734097.0,0.06074611483457141,Georgia
2015.0,HI,22979.0,670595.0,0.034266584152879156,Hawaii
2015.0,IA,63084.0,1700558.0,0.037096059058262056,Iowa
2015.0,ID,30898.0,795024.0,0.03886423554509046,Idaho
2015.0,IL,391867.0,6511808.0,0.060177910650928285,Illinois
2015.0,IN,156610.0,3266401.0,0.04794573599506001,Indiana
2015.0,KS,62254.0,1493787.0,0.041675285700036216,Kansas
2015.0,KY,103638.0,1979654.0,0.05235157254752598,Kentucky
2015.0,LA,134978.0,2150066.0,0.06277853796116026,Louisiana
2015.0,MA,172114.0,3589408.0,0.04795052554627392,Massachusetts
2015.0,MD,156907.0,3139990.0,0.049970541307456394,Maryland
2015.0,ME,30305.0,687852.0,0.04405744258939423,Maine
2015.0,MI,258391.0,4760214.0,0.05428138314790049,Michigan
2015.0,MN,113742.0,3005417.0,0.03784566334721604,Minnesota
2015.0,MO,156399.0,3057872.0,0.05114635275773479,Missouri
2015.0,MS,81997.0,1260020.0,0.06507595117537816,Mississippi
2015.0,MT,22176.0,517904.0,0.04281874633136643,Montana
2015.0,NC,269942.0,4763826.0,0.05666495795606305,North Carolina
2015.0,ND,11471.0,410768.0,0.027925739103338138,North Dakota
2015.0,NE,30344.0,1011670.0,0.029993970365830756,Nebraska
2015.0,NH,25485.0,746316.0,0.03414773366777612,New Hampshire
2015.0,NJ,256731.0,4494610.0,0.057119750100676145,New Jersey
2015.0,NM,62095.0,938301.0,0.0661781240774549,New Mexico
2015.0,NV,95667.0,1396760.0,0.06849208167473296,Nevada
2015.0,NY,500532.0,9536524.0,0.05248579042007339,New York
2015.0,OH,282930.0,5710784.0,0.04954311001781892,Ohio
2015.0,OK,78550.0,1829054.0,0.04294569761198959,Oklahoma
2015.0,OR,108192.0,1979479.0,0.054656806159600585,Oregon
2015.0,PA,346753.0,6423161.0,0.05398479035478015,Pennsylvania
2015.0,PR,134143.0,1120019.0,0.11976850392716552,Unknown
2015.0,RI,33505.0,555273.0,0.06033968876570624,Rhode Island
2015.0,SC,133751.0,2267838.0,0.05897731672191753,South Carolina
2015.0,SD,13800.0,453095.0,0.030457188889747182,South Dakota
2015.0,TN,171532.0,3074219.0,0.05579693574205351,Tennessee
2015.0,TX,587519.0,13090995.0,0.04487962908854522,Texas
2015.0,UT,51512.0,1453456.0,0.03544104534296188,Utah
